Code	GlobalCategory	Manufacturer	Name	Text1	ProductUrl	ImageUrl	VendorUid	Availability	Condition	ShipWeight	ShipCost	Bid1	Text2	Upc	Price
830	150	Seacoast Vitamins	Zinc 50mg (100 tabs)	Seacoast Natural Foods Zinc contains 50 mg of zinc from gluconate chelate.	http://www.seacoastvitamins.com/product_info.php?products_id=830	http://www.seacoastvitamins.com/images/seacoast_default_logo.png	723100	In-Stock	New				Lowest Shipping Cost Guarantee		2.24
170	150	Source Naturals	Ultra Colloidal Silver (2oz)	Source Naturals Ultra Collodial Silver	http://www.seacoastvitamins.com/product_info.php?products_id=170	http://www.seacoastvitamins.com/images/products/170.jpg	sn-0018	In-Stock	New				Lowest Shipping Cost Guarantee		10.19
171	150	Source Naturals	Wellness Formula (90 tabs)	Wellness Formula® boosts the immune system, generally supports health and well-being. A powerful, well balanced combination of herbs, antioxidants, vitamins, and minerals.	http://www.seacoastvitamins.com/product_info.php?products_id=171	http://www.seacoastvitamins.com/images/products/171.jpg	SN0022	In-Stock	New				Lowest Shipping Cost Guarantee	21078000228	11.89
164	150	Nature's Way	System Well (180 Tabs)	At your defense are seven different systems working together to ensure good health. SystemWell from Nature's Way is a unique formula that strengthens all seven systems for "ultimate immunity."	http://www.seacoastvitamins.com/product_info.php?products_id=164	http://www.seacoastvitamins.com/images/164.gif	15049	In-Stock	New				Lowest Shipping Cost Guarantee	033674150498	17.84
1772	150	Country Life	R-Lipoic Acid 100mg (60 Vcaps)	R-alpha Lipoic Acid is an antioxidant. R-Lipoic is an active isomer of Lipoic Acid that is far better utilized by the body than other standard forms. Supports proper carbohydrate metabolism and healthy glucose levels.	http://www.seacoastvitamins.com/product_info.php?products_id=1772	http://www.seacoastvitamins.com/images/rlipoicacid.gif	1653	In-Stock	New				Lowest Shipping Cost Guarantee	015794016533	12.74
163	150	Nature's Way	System Well (90 Tabs)	System Well from Nature's Way consists of all natural herbs & extracts to nourish your body and maximize immune health.	http://www.seacoastvitamins.com/product_info.php?products_id=163	http://www.seacoastvitamins.com/images/163.jpg	15023	In-Stock	New				Lowest Shipping Cost Guarantee	033674150238	10.62
157	150	IP-6 International	IP6 Gold with Inositol (120 caps)	IP-6 International - IP-6 with Inositol is a patented and proven method for supporting the immune system	http://www.seacoastvitamins.com/product_info.php?products_id=157	http://www.seacoastvitamins.com/images/ip6.jpg	157	In-Stock	New				Lowest Shipping Cost Guarantee	019852102626	15.30
158	150	IP-6 International	IP6 Gold with Inositol (240 caps)	IP6 & Inositol boosts the body's natural cellular defenses by increasing the levels of inositol phosphates in the cells.  As a result, it dramatically increases natural killer cell activity, which plays a key role in strengthening the body's immune system. Scientific studies show only IP6 & Inositol provides the ratio of IP6 and inositol that produces real, life-changing results.	http://www.seacoastvitamins.com/product_info.php?products_id=158	http://www.seacoastvitamins.com/images/ip6 caps.jpg	158	In-Stock	New				Lowest Shipping Cost Guarantee	019852102633	29.71
159	150	IP-6 International	IP6 Gold with Inositol Powder (14.6oz)	IP6 & Inositol boosts cellular defenses by naturally increasing the inositol phosphates in the cells.  Increases natural killer cell activity, such as those to defend against cancer.	http://www.seacoastvitamins.com/product_info.php?products_id=159	http://www.seacoastvitamins.com/images/IP.jpg	159	In-Stock	New				Lowest Shipping Cost Guarantee	019852102978	50.11
1876	150	Nature's Way	Natural HerbalSlim (100 caps) Herbal-Slim	Nature's Way HerbalSlim decreases caloric intake and body fat. It is stimulant free, natural, and increases energy.	http://www.seacoastvitamins.com/product_info.php?products_id=1876	http://www.seacoastvitamins.com/images/herbalslim.jpg	190	In-Stock	New				Lowest Shipping Cost Guarantee	033674001905	5.52
